,Year,Source_MTCDEs,value,Scope_Type
165,2009_2010,"#1, 2, & 4 Fuel Oil",11.0,Scope 2
166,2010_2011,"#1, 2, & 4 Fuel Oil",0.0,Scope 2
167,2011_2012,"#1, 2, & 4 Fuel Oil",2.0,Scope 2
168,2012_2013,"#1, 2, & 4 Fuel Oil",7.0,Scope 2
169,2013_2014,"#1, 2, & 4 Fuel Oil",59.0,Scope 2
170,2014_2015,"#1, 2, & 4 Fuel Oil",539.0,Scope 2
171,2015_2016,"#1, 2, & 4 Fuel Oil",554.0,Scope 2
172,2016_2017,"#1, 2, & 4 Fuel Oil",6.0,Scope 2
173,2017_2018,"#1, 2, & 4 Fuel Oil",18.0,Scope 2
174,2018_2019,"#1, 2, & 4 Fuel Oil",251.0,Scope 2
175,2019_2020,"#1, 2, & 4 Fuel Oil",11.0,Scope 2
176,2020_2021,"#1, 2, & 4 Fuel Oil",0.0,Scope 2
177,2021_2022,"#1, 2, & 4 Fuel Oil",0.0,Scope 2
178,2022_2023,"#1, 2, & 4 Fuel Oil",0.0,Scope 2
179,2023_2024,"#1, 2, & 4 Fuel Oil",0.0,Scope 2
180,2006_2007,#5 & 6 Fuel Oil,17.0,Scope 2
181,2007_2008,#5 & 6 Fuel Oil,35.0,Scope 2
182,2008_2009,#5 & 6 Fuel Oil,21.0,Scope 2
183,2009_2010,#5 & 6 Fuel Oil,0.0,Scope 2
184,2010_2011,#5 & 6 Fuel Oil,6.0,Scope 2
185,2011_2012,#5 & 6 Fuel Oil,4.0,Scope 2
186,2012_2013,#5 & 6 Fuel Oil,5.0,Scope 2
187,2013_2014,#5 & 6 Fuel Oil,5.0,Scope 2
188,2014_2015,#5 & 6 Fuel Oil,0.0,Scope 2
189,2015_2016,#5 & 6 Fuel Oil,0.0,Scope 2
190,2016_2017,#5 & 6 Fuel Oil,0.0,Scope 2
191,2017_2018,#5 & 6 Fuel Oil,0.0,Scope 2
192,2018_2019,#5 & 6 Fuel Oil,0.0,Scope 2
193,2019_2020,#5 & 6 Fuel Oil,0.0,Scope 2
194,2020_2021,#5 & 6 Fuel Oil,0.0,Scope 2
195,2021_2022,#5 & 6 Fuel Oil,0.0,Scope 2
196,2022_2023,#5 & 6 Fuel Oil,0.0,Scope 2
197,2023_2024,#5 & 6 Fuel Oil,0.0,Scope 2
198,2006_2007,Other (assume NPCC grid),577.0,Scope 2
199,2007_2008,Other (assume NPCC grid),884.0,Scope 2
200,2008_2009,Other (assume NPCC grid),839.0,Scope 2
201,2009_2010,Other (assume NPCC grid),166.0,Scope 2
202,2010_2011,Other (assume NPCC grid),505.0,Scope 2
203,2011_2012,Other (assume NPCC grid),399.0,Scope 2
204,2012_2013,Other (assume NPCC grid),0.0,Scope 2
205,2013_2014,Other (assume NPCC grid),0.0,Scope 2
206,2014_2015,Other (assume NPCC grid),0.0,Scope 2
207,2015_2016,Other (assume NPCC grid),0.0,Scope 2
208,2016_2017,Other (assume NPCC grid),837.0,Scope 2
209,2017_2018,Other (assume NPCC grid),135.0,Scope 2
210,2018_2019,Other (assume NPCC grid),0.0,Scope 2
211,2019_2020,Other (assume NPCC grid),83.0,Scope 2
212,2020_2021,Other (assume NPCC grid),0.0,Scope 2
213,2021_2022,Other (assume NPCC grid),0.0,Scope 2
214,2022_2023,Other (assume NPCC grid),0.0,Scope 2
215,2023_2024,Other (assume NPCC grid),0.0,Scope 2
216,2006_2007,Scope 2 TOTAL,635.0,Scope 2
217,2007_2008,Scope 2 TOTAL,980.0,Scope 2
218,2008_2009,Scope 2 TOTAL,905.0,Scope 2
219,2009_2010,Scope 2 TOTAL,177.0,Scope 2
220,2010_2011,Scope 2 TOTAL,511.0,Scope 2
221,2011_2012,Scope 2 TOTAL,436.0,Scope 2
222,2012_2013,Scope 2 TOTAL,859.0,Scope 2
223,2013_2014,Scope 2 TOTAL,892.0,Scope 2
224,2014_2015,Scope 2 TOTAL,1261.0,Scope 2
225,2015_2016,Scope 2 TOTAL,1357.0,Scope 2
226,2016_2017,Scope 2 TOTAL,1619.0,Scope 2
227,2017_2018,Scope 2 TOTAL,1091.0,Scope 2
228,2018_2019,Scope 2 TOTAL,469.0,Scope 2
229,2019_2020,Scope 2 TOTAL,174.0,Scope 2
230,2020_2021,Scope 2 TOTAL,0.0,Scope 2
231,2021_2022,Scope 2 TOTAL,0.0,Scope 2
232,2022_2023,Scope 2 TOTAL,0.0,Scope 2
233,2023_2024,Scope 2 TOTAL,0.0,Scope 2
