Scope 2: Indirect Emissions from Electricity Purchases,,,,,,,,,,,,,,,,,,,,,,,
"This section includes emissions from all stationary combustion of fossil fuels done in direct proportion to an energy source purchased by the institution; i.e. purchased electricity and steam generated outside the geographic/control boundaries set in the introduction, yet consumed within them.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calculating kWH of Carbon Emitting Electricity Sources,,,,,,,,,,,,,,,,,,,,,,,
,Fiscal Year:,,,,,,,,,,,,,,,,,,,,,,
Value,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 21/22,,FY 22/23,FY 23/24,FY 24/25,,,
MTCDE from N2O,0.072,0.112,0.079,0.000,0.000,0.032,0.705,0.689,0.000,0.000,0.353,0.239,0.000,0.001,0.000,0.000,,0.000,0.000,0.000,,,
ΣMTCDE from Coal,15.4,23.9,16.9,0.0,0.0,6.8,150.8,147.4,0.0,0.0,75.6,51.2,0.0,0.3,0.0,0.0,,0.0,0.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,
"#1, 2, & 4 Fuel Oil",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Value/EF,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 20/21,,FY 20/21,FY 20/21,FY 20/21,,,
kWh from Fuel Oil,"10,223","17,076","11,056","44,325",0,"6,371","26,644","236,871","2,176,684","2,234,580","23,312","70,525","1,011,384","43,965",0,0,,0,0,0,,,
MMBTUs of electricity,34.9,58.3,37.7,151.2,0.0,21.7,90.9,808.2,"7,427.1","7,624.6",79.5,240.6,"3,450.9",150.0,0.0,0.0,,0.0,0.0,0.0,,,
Metric Tonnes CO2,2.5,4.2,2.7,10.9,0.0,1.6,6.6,58.5,537.5,551.8,5.8,17.4,249.7,10.9,0.0,0.0,,0.0,0.0,0.0,,,
Tonnes CH4,0.00011,0.00018,0.00011,0.00046,0.00000,0.00007,0.00027,0.00243,0.02236,0.02295,0.00024,0.00072,0.01039,0.00045,0.00000,0.00000,,0.00000,0.00000,0.00000,,,
