Scope 1, Part A: Direct Emissions from Stationary Combustion																				
This section includes emissions from all stationary combustion of fossil fuels purchased by the institution and combusted within the geographic and control boundaries established in the introduction																				
																				
																				
																				
Summary data (MTCDE emssions from biomass summarized below, see note below)																				
	MTCDEs by Fiscal Year															Note: FY24/25 are projected for  "what-if" purposes				Est YTD
Tonnes CH4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTCDE from CH4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.0	0.0
Tonnes N2O	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTCDE from N2O	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.0	0.0
ΣMTCDE from natural gas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.9	0.7	0.0	0.0
																				
Biomass (Note: CO2 emissions not included in totals per EPA/DOE/GHG Protocol determination that biogenic sources are carbon neutral)																				
																				
	FY06/07	FY07/08	FY08/09	FY09/10	FY10/11	FY11/12	FY12/13	FY13/14	FY14/15	FY15/16	FY 16/17	FY 17/18	FY 18/19	FY 19/20	FY 20/21	FY 21/22	FY 22/23	FY 23/24	FY 24/25	FY 24/26
Chips Gassified (Short Tons)	0	0	3,209	13,743	18,775	15,741	20,769	25,349	24,310	19,412	21,513	20,283	21,104	18,169	15,141	15,389	17,546	18,503	21,918	6,656
Dry Wood Weight (short tons)	0	0	1,925	8,246	11,265	9,445	12,461	15,209	14,586	11,647	12,908	12,170	12,662	10,901	9,085	9,233	10,528	11,102	13,151	3,994
MMBTUs of fuel	0	0	33,657	144,134	196,917	165,091	217,826	265,861	254,963	203,593	225,633	212,728	221,339	190,556	158,799	161,400	184,022	194,059	229,876	69,810
CO2 Emissions (kg)	0	0	3,157,745	13,522,844	18,475,047	15,489,055	20,436,785	24,943,465	23,921,040	19,101,408	21,169,274	19,958,472	20,766,336	17,878,296	14,898,744	15,142,776	17,265,264	18,206,952	21,567,312	6,549,720
CO2 Emissions (Metric Tons)	0	0	3,158	13,523	18,475	15,489	20,437	24,943	23,921	19,101	21,169	19,958	20,766	17,878	14,899	15,143	17,265	18,207	21,567	6,550
CH4 Emissions (g)	0	0	242,607	1,038,950	1,419,424	1,190,013	1,570,143	1,916,388	1,837,836	1,467,547	1,626,420	1,533,395	1,595,462	1,373,576	1,144,660	1,163,408	1,326,478	1,398,827	1,657,001	503,210
CH4 Emissions (Metric Tons)	0	0	0	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	2	1
CH4 Emissions (MTCDE)	0	0	6	26	35	30	39	48	46	37	41	38	40	34	29	29	33	35	41	13
N2O Emissions (g)	0	0	121,304	519,475	709,712	595,006	785,072	958,194	918,918	733,774	813,210	766,697	797,731	686,788	572,330	581,704	663,239	699,413	828,500	251,605
N2O Emissions (Metric Tons)	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
N2O Emissions (MTCDE)	0	0	36	155	211	177	234	286	274	219	242	228	238	205	171	173	198	208	247	75
Biogenic Emissions - CO2 (MTCDE)	0	0	3,158	13,523	18,475	15,489	20,437	24,943	23,921	19,101	21,169	19,958	20,766	17,878	14,899	15,143	17,265	18,207	21,567	6,550
Anthropogenic Emissions - CH4, N20 (MTCDE)	0	0	42	181	247	207	273	333	320	255	283	267	278	239	199	202	231	243	288	88
ΣMTCDE from wood (EPA)	0	0	3,200	13,704	18,722	15,696	20,710	25,277	24,241	19,357	21,452	20,225	21,044	18,117	15,098	15,345	17,496	18,450	21,856	6,637
																				
Formulaic numbers:																				
Standard coefficients:																				
barrels/gallon (1/42)	0.02381																			
tonne/gram (1/1x106)	1E-06																			
Tonne/kg (1/1,000)	0.001																			
CH4 GWP	21																			
N2O GWP	310																			
																				
#6 Fuel Oil:																				
MMBTU/gal #6 EF	0.1497																			
Tonnes CO2/gal #6 EF	0.01166938181																			
HC (MMBTU/bbl)	6.287																			
CCC (kg C/ MMBTU)	21.49																			
Fraction Oxidized	0.99																			
MW ratio (kg CO2/kg C)	3.664																			
CH4 EF (g gas/MMBTU)	2.00																			
N2O EF (g gas/MMBTU)	0.600																			
																				
#2 Fuel Oil/Off Road Diesel:																				
MMBTU/gal #2 EF	0.1387																			
Tonnes CO2/gal #2 EF	0.0100																			
HC (MMBTU/bbl)	5.825																			
CCC (kg C/ MMBTU)	19.95																			
Fraction Oxidized	0.99																			
CH4 EF (g gas/MMBTU)	10.0																			
N2O EF (g gas/MMBTU)	0.6																			
																				
Propane:																				
MMBTU/gal propane EF	0.0910																			
Tonnes CO2/gal propane EF	0.0057																			
HC (MMBTU/bbl)	3.824																			
CCC (kg C/ MMBTU)	17.2																			
Fraction Oxidized	0.995																			
CH4 EF (g gas/MMBTU)	10.0																			
N2O EF (g gas/MMBTU)	0.6																			
													EPA Climate Leaders 2016 Default Emissions factors							
Biomass	EPA Factors									BERC Factor			Fuel	Heat Content (HHV)	Heat Content (HHV)					
MMBTU/lb wood EF	0.00874									0.0087	EPA			(mmBtu/ton)	(mmBtu/ton)	(g CH4/ton)				
Tonnes CO2/lb wood EF	0.00082									0.000118	BERC									
HC (MMBTU/ton)	17.48	at 0% MC								17.48	EPA		Wood and wood Residuals	17.48	17.48	126				
CCC (kg C/ MMBTU)	0.30									28.09	EPA									
Fraction Oxidized	0.99									0.99			Biomass Energy Resource Center Emissions Factor for Woodchips							
CH4 EF (g gas/MMBTU)	7.21									7.21	EPA		29.58	lbs CO2/mmBtu	lbs CO2/mmBtu					
N2O EF (g gas/MMBTU)	#REF!									3.60	EPA									
													Future metrics 							
Kerosene													116.27	kgCO2/mmbtu for hardwood at 45% mc	kgCO2/mmbtu for hardwood at 45% mc					
Tonnes CO2/gal kerosene EF	0.01015									*From EPA's 'Emisson factors for GHG inventories' 2011			0.0010161998	tonneCO2/lb wood	tonneCO2/lb wood					
																				
																				
Natural Gas																				
HC (MMBTU/McF)	1.032																			
Tonnes CO2/McF NatGas EF	0.05312																			
CCC (kg C/MMBTU)	53.07																			
Fraction oxidized	0.995																			
CH4 EF (g CH4/MMBTU)	1																			
N2O EF (g N2O/MMBTU)	1																			
																				
Renewable Natural Gas																				
HC (MMBTU/McF)	1.032																			
Tonnes CO2/McF NatGas EF	-0.00002405	From AD1 Study																		
CCC (kg C/MMBTU)	53.07																			
Fraction oxidized	0.995																			
CH4 EF (g CH4/MMBTU)	1																			
N2O EF (g N2O/MMBTU)	1																			
																				
EIA	Pounds CO2	Kilograms CO2	Pounds CO2	Kilograms CO2																
Carbon Dioxide (CO2) Factors:	Per Thousand Cubic Feet	Per Thousand Cu. Ft.	Million Btu	Million Btu																
Natural Gas	117.1	53.12	117	53.07																
	120.96	54.87	116.65	52.91																
https://www.eia.gov/environment/emissions/co2_vol_mass.cfm																				
																				
In 2015, the average heat content of natural gas for the residential, commercial, and industrial sectors was about 1,032 Btu per cf; one Ccf = 103,200 Btu or 1.032 therms; one Mcf = 1.032 MMBtu or 10.32 therms.																				
